Kelas 1,Kelas 2,Kelas 3,Kelas 4,Sektor
,,,4293,JASA PEKERJAAN KONSTRUKSI PRAPABRIKASI BANGUNAN SIPIL
,43,,,KONSTRUKSI KHUSUS
,,431,,PEMBONGKARAN DAN PENYIAPAN LAHAN
,,,4311,PEMBONGKARAN
,,,4312,PENYIAPAN LAHAN
,,432,,INSTALASI SISTEM KELISTRIKAN
,,,4321,INSTALASI SISTEM KELISTRIKAN
,,,4322,INSTALASI SALURAN AIR (PLAMBING)
,,,4329,INSTALASI KONSTRUKSI LAINNYA
,,433,,PENYELESAIAN KONSTRUKSI BANGUNAN
,,,4330,PENYELESAIAN KONSTRUKSI BANGUNAN
,,439,,KONSTRUKSI KHUSUS LAINNYA
,,,4390,KONSTRUKSI KHUSUS LAINNYA
G,,,,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR
,45,,,PERDAGANGAN
,,451,,PERDAGANGAN MOBIL
,,,4510,PERDAGANGAN MOBIL
,,452,,REPARASI DAN PERAWATAN MOBIL
,,,4520,REPARASI DAN PERAWATAN MOBIL
,,453,,PERDAGANGAN SUKU CADANG DAN AKSESORI MOBIL
,,,4530,PERDAGANGAN SUKU CADANG DAN AKSESORI MOBIL
,,454,,PERDAGANGAN
,,,4540,PERDAGANGAN
,46,,,PERDAGANGAN BESAR
,,461,,PERDAGANGAN BESAR ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK
,,,4610,PERDAGANGAN BESAR ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK
,,462,,PERDAGANGAN BESAR HASIL PERTANIAN DAN HEWAN HIDUP
,,,4620,PERDAGANGAN BESAR HASIL PERTANIAN DAN HEWAN HIDUP
,,463,,PERDAGANGAN BESAR MAKANAN
,,,4631,PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PERTANIAN
,,,4632,PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PETERNAKAN DAN PERIKANAN
,,,4633,PERDAGANGAN BESAR MAKANAN DAN MINUMAN LAINNYA DAN TEMBAKAU
,,464,,PERDAGANGAN BESAR BARANG KEPERLUAN RUMAH TANGGA
,,,4641,PERDAGANGAN BESAR TEKSTIL
,,,4642,PERDAGANGAN BESAR ALAT TULIS DAN HASIL PENCETAKAN DAN PENERBITAN
,,,4643,PERDAGANGAN BESAR ALAT FOTOGRAFI DAN BARANG OPTIK
,,,4644,PERDAGANGAN BESAR FARMASI
,,,4649,PERDAGANGAN BESAR BARANG KEPERLUAN RUMAH TANGGA LAINNYA
,,465,,PERDAGANGAN BESAR MESIN
,,,4651,PERDAGANGAN BESAR KOMPUTER
,,,4652,PERDAGANGAN BESAR SUKU CADANG ELEKTRONIK DAN PERALATAN TELEKOMUNIKASI DAN BAGIAN-BAGIANNYA
,,,4653,PERDAGANGAN BESAR MESIN
,,,4659,PERDAGANGAN BESAR MESIN
,,466,,PERDAGANGAN BESAR KHUSUS LAINNYA
,,,4661,PERDAGANGAN BESAR BAHAN BAKAR PADAT
,,,4662,PERDAGANGAN BESAR LOGAM DAN BIJIH LOGAM
,,,4663,PERDAGANGAN BESAR BAHAN DAN PERLENGKAPAN BANGUNAN
,,,4664,PERDAGANGAN BESAR MINERAL BUKAN LOGAM
,,,4665,PERDAGANGAN BESAR BAHAN DAN BARANG KIMIA
,,,4669,PERDAGANGAN BESAR PRODUK LAINNYA TERMASUK BARANG SISA DAN POTONGAN TYDL
,,469,,PERDAGANGAN BESAR BERBAGAI MACAM BARANG
,,,4690,PERDAGANGAN BESAR BERBAGAI MACAM BARANG
,47,,,PERDAGANGAN ECERAN
,,471,,PERDAGANGAN ECERAN BERBAGAI MACAM BARANG DI TOKO
,,,4711,PERDAGANGAN ECERAN YANG UTAMANYA MAKANAN
,,,4719,PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG DIDOMINASI OLEH BARANG BUKAN MAKANAN DAN TEMBAKAU DI TOKO
,,472,,PERDAGANGAN ECERAN KHUSUS MAKANAN
,,,4721,PERDAGANGAN ECERAN KHUSUS KOMODITI MAKANAN DARI HASIL PERTANIAN DI TOKO
,,,4722,PERDAGANGAN ECERAN KHUSUS MINUMAN DI TOKO
,,,4723,PERDAGANGAN ECERAN KHUSUS ROKOK DAN TEMBAKAU DI TOKO
,,,4724,PERDAGANGAN ECERAN KHUSUS MAKANAN HASIL INDUSTRI DI TOKO
,,473,,PERDAGANGAN ECERAN KHUSUS BAHAN BAKAR KENDARAAN BERMOTOR
,,,4730,PERDAGANGAN ECERAN KHUSUS BAHAN BAKAR KENDARAAN BERMOTOR
,,474,,PERDAGANGAN ECERAN KHUSUS PERALATAN INFORMASI DAN KOMUNIKASI DI TOKO 
,,,4741,PERDAGANGAN ECERAN KHUSUS KOMPUTER DAN PERLENGKAPANNYA; PIRANTI LUNAK DAN PERLENGKAPAN TELEKOMUNIKASI DI TOKO
,,,4742,PERDAGANGAN ECERAN KHUSUS PERALATAN AUDIO DAN VIDEO DI TOKO
,,475,,PERDAGANGAN ECERAN KHUSUS PERLENGKAPAN RUMAH TANGGA LAINNYA DI TOKO
,,,4751,PERDAGANGAN ECERAN KHUSUS TEKSTIL DI TOKO
,,,4752,PERDAGANGAN ECERAN KHUSUS BARANG DAN BAHAN BANGUNAN
,,,4753,PERDAGANGAN ECERAN KHUSUS KARPET
,,,4759,PERDAGANGAN ECERAN KHUSUS FURNITUR
,,476,,PERDAGANGAN ECERAN KHUSUS FURNITUR
,,,4761,PERDAGANGAN ECERAN KHUSUS BARANG BUDAYA DAN REKREASI DI TOKO KHUSUS
,,,4762,I TOKO
,,,4763,PERDAGANGAN ECERAN KHUSUS PERALATAN OLAHRAGA DI TOKO
,,,4764,PERDAGANGAN ECERAN KHUSUS ALAT PERMAINAN DAN MAINAN
,,,4765,PERDAGANGAN ECERAN KERTAS
,,477,,PERDAGANGAN ECERAN KHUSUS BARANG LAINNYA DI TOKO
,,,4771,PERDAGANGAN ECERAN KHUSUS PAKAIAN
,,,4772,PERDAGANGAN ECERAN KHUSUS BARANG DAN OBAT FARMASI
,,,4773,PERDAGANGAN ECERAN KHUSUS BARANG BARU LAINNYA DI TOKO
,,,4774,PERDAGANGAN ECERAN KHUSUS BARANG BEKAS DI TOKO
,,,4775,PERDAGANGAN ECERAN KHUSUS HEWAN PIARAAN DAN HEWAN TERNAK
,,,4776,PERDAGANGAN ECERAN BUNGA POTONG
,,,4777,PERDAGANGAN ECERAN BAHAN KIMIA
,,,4778,PERDAGANGAN ECERAN BARANG KERAJINAN DAN LUKISAN DI TOKO
,,,4779,PERDAGANGAN ECERAN KHUSUS BARANG LAINNYA YTDL
,,478,,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR 
,,,4781,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KOMODITI HASIL PERTANIAN
,,,4782,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR MAKANAN
,,,4783,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR TEKSTIL
,,,4784,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BAHAN KIMIA
,,,4785,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG PRIBADI
,,,4786,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR PERLENGKAPAN RUMAH TANGGA
,,,4787,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR KERTAS
,,,4788,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG KERAJINAN
,,,4789,PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BARANG LAINNYA DAN BARANG BEKAS
,,479,,PERDAGANGAN ECERAN BUKAN DI TOKO
,,,4791,PERDAGANGAN ECERAN MELALUI PEMESANAN POS ATAU INTERNET
,,,4792,PERDAGANGAN ECERAN ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK
,,,4799,PERDAGANGAN ECERAN BUKAN DI TOKO
H,,,,PENGANGKUTAN DAN PERGUDANGAN
,49,,,ANGKUTAN DARAT DAN ANGKUTAN MELALUI SALURAN PIPA
,,491,,ANGKUTAN JALAN REL
,,,4911,ANGKUTAN JALAN REL UNTUK PENUMPANG
,,,4912,ANGKUTAN JALAN REL UNTUK BARANG
,,492,,ANGKUTAN BUS
,,,4921,ANGKUTAN BUS DALAM TRAYEK
,,,4922,ANGKUTAN BUS TIDAK DALAM TRAYEK
,,493,,ANGKUTAN MELALUI SALURAN PIPA 
,,,4930,ANGKUTAN MELALUI SALURAN PIPA
,,494,,ANGKUTAN DARAT BUKAN BUS
,,,4941,ANGKUTAN DARAT BUKAN BUS UNTUK PENUMPANG
,,,4942,ANGKUTAN DARAT LAINNYA UNTUK PENUMPANG
,,,4943,ANGKUTAN DARAT UNTUK BARANG
,,,4944,ANGKUTAN JALAN REL PERKOTAAN DAN WISATA UNTUK PENUMPANG
,,,4945,ANGKUTAN JALAN REL LAINNYA
,50,,,ANGKUTAN PERAIRAN
,,501,,ANGKUTAN LAUT
,,,5011,ANGKUTAN LAUT DALAM NEGERI UNTUK PENUMPANG
,,,5012,ANGKUTAN LAUT LUAR NEGERI UNTUK PENUMPANG
,,,5013,ANGKUTAN LAUT DALAM NEGERI UNTUK BARANG
,,,5014,ANGKUTAN LAUT LUAR NEGERI UNTUK BARANG
,,502,,ANGKUTAN SUNGAI
,,,5021,ANGKUTAN SUNGAI
,,,5022,ANGKUTAN SUNGAI
,51,,,ANGKUTAN UDARA
,,511,,ANGKUTAN UDARA UNTUK PENUMPANG
,,,5110,ANGKUTAN UDARA UNTUK PENUMPANG
,,512,,ANGKUTAN UDARA UNTUK KARGO
,,,5120,ANGKUTAN UDARA UNTUK KARGO
,52,,,PERGUDANGAN DAN AKTIVITAS PENUNJANG ANGKUTAN
,,521,,PERGUDANGAN DAN PENYIMPANAN
,,,5210,PERGUDANGAN DAN PENYIMPANAN
,,522,,AKTIVITAS PENUNJANG ANGKUTAN
,,,5221,AKTIVITAS PENUNJANG ANGKUTAN DARAT
,,,5222,AKTIVITAS PENUNJANG ANGKUTAN PERAIRAN
,,,5223,AKTIVITAS KEBANDARUDARAAN DAN JASA PELAYANAN NAVIGASI PENERBANGAN
,,,5224,PENANGANAN KARGO (BONGKAR MUAT BARANG)
,,,5229,AKTIVITAS PENUNJANG ANGKUTAN LAINNYA
,53,,,AKTIVITAS POS DAN KURIR
,,531,,AKTIVITAS POS
,,,5310,AKTIVITAS POS
,,532,,AKTIVITAS KURIR
,,,5320,AKTIVITAS KURIR
I,,,,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM
,55,,,PENYEDIAAN AKOMODASI
,,551,,PENYEDIAAN AKOMODASI JANGKA PENDEK
,,,5511,HOTEL BINTANG
,,,5512,HOTEL MELATI
,,,5513,PONDOK WISATA
,,,5519,PENYEDIAAN AKOMODASI JANGKA PENDEK LAINNYA
,,559,,PENYEDIAAN AKOMODASI LAINNYA
,,,5590,PENYEDIAAN AKOMODASI LAINNYA
,56,,,PENYEDIAAN MAKANAN DAN MINUMAN
,,561,,RESTORAN DAN PENYEDIAAN MAKANAN KELILING
,,,5610,RESTORAN DAN PENYEDIAAN MAKANAN KELILING
,,562,,JASA BOGA UNTUK SUATU EVENT TERTENTU (EVENT CATERING) DAN PENYEDIAAN JASA BOGA PERIODE TERTENTU
,,,5621,JASA BOGA UNTUK SUATU EVENT TERTENTU (EVENT CATERING)
,,,5629,PENYEDIAAN JASA BOGA PERIODE TERTENTU
,,563,,PENYEDIAAN MINUMAN
,,,5630,PENYEDIAAN MINUMAN
J,,,,INFORMASI DAN KOMUNIKASI
,58,,,AKTIVITAS PENERBITAN
,,581,,AKTIVITAS PENERBITAN BUKU
,,,5811,PENERBITAN BUKU
,,,5812,PENERBITAN DIREKTORI DAN MAILING LIST
,,,5813,PENERBITAN SURAT KABAR
,,,5819,AKTIVITAS PENERBITAN LAINNYA
,,582,,PENERBITAN PIRANTI LUNAK (SOFTWARE)
,,,5820,PENERBITAN PIRANTI LUNAK (SOFTWARE)
,59,,,AKTIVITAS PRODUKSI GAMBAR BERGERAK
,,591,,AKTIVITAS PRODUKSI GAMBAR BERGERAK
,,,5911,AKTIVITAS PRODUKSI GAMBAR BERGERAK
,,,5912,AKTIVITAS PASCAPRODUKSI FILM
,,,5913,AKTIVITAS DISTRIBUSI GAMBAR BERGERAK
,,,5914,AKTIVITAS PEMUTARAN FILM
,,592,,AKTIVITAS PEREKAMAN SUARA DAN PENERBITAN MUSIK
,,,5920,AKTIVITAS PEREKAMAN SUARA DAN PENERBITAN MUSIK
,60,,,AKTIVITAS PENYIARAN DAN PEMROGRAMAN
,,601,,PENYIARAN RADIO
,,,6010,PENYIARAN RADIO
,,602,,AKTIVITAS PENYIARAN DAN PEMROGRAMAN TELEVISI
,,,6020,AKTIVITAS PENYIARAN DAN PEMROGRAMAN TELEVISI
,61,,,TELEKOMUNIKASI
,,611,,AKTIVITAS TELEKOMUNIKASI DENGAN KABEL
,,,6110,AKTIVITAS TELEKOMUNIKASI DENGAN KABEL
,,612,,AKTIVITAS TELEKOMUNIKASI TANPA KABEL
,,,6120,AKTIVITAS TELEKOMUNIKASI TANPA KABEL
,,613,,AKTIVITAS TELEKOMUNIKASI SATELIT
,,,6130,AKTIVITAS TELEKOMUNIKASI SATELIT
,,619,,AKTIVITAS TELEKOMUNIKASI LAINNYA
,,,6191,JASA NILAI TAMBAH TELEPONI
,,,6192,JASA MULTIMEDIA 
,,,6199,AKTIVITAS TELEKOMUNIKASI LAINNYA YTDL
,62,,,AKTIVITAS PEMROGRAMAN
,,620,,AKTIVITAS PEMROGRAMAN
,,,6201,AKTIVITAS PEMROGRAMAN KOMPUTER
,,,6202,AKTIVITAS KONSULTASI KOMPUTER DAN MANAJEMEN FASILITAS KOMPUTER
,,,6209,AKTIVITAS TEKNOLOGI INFORMASI DAN JASA KOMPUTER LAINNYA
,63,,,AKTIVITAS JASA INFORMASI
,,631,,AKTIVITAS PENGOLAHAN DATA
,,,6311,AKTIVITAS PENGOLAHAN DATA
,,,6312,PORTAL WEB DAN/ATAU PLATFORM DIGITAL
,,639,,AKTIVITAS JASA INFORMASI LAINNYA
,,,6391,AKTIVITAS KANTOR BERITA
,,,6399,AKTIVITAS JASA INFORMASI LAINNYA YTDL
K,,,,AKTIVITAS KEUANGAN DAN ASURANSI
,64,,,AKTIVITAS JASA KEUANGAN
,,641,,PERANTARA MONETER
,,,6411,BANK SENTRAL
,,,6412,BANK UMUM
,,,6413,BANK PERKREDITAN RAKYAT DAN BANK PEMBIAYAAN RAKYAT SYARIAH
,,,6414,KOPERASI SIMPAN PINJAM/UNIT SIMPAN PINJAM
,,,6415,LEMBAGA KEUANGAN MIKRO
,,642,,AKTIVITAS PERUSAHAAN HOLDING
,,,6420,AKTIVITAS PERUSAHAAN HOLDING
,,643,,TRUST
,,,6430,TRUST
,,644,,OTORITAS JASA KEUANGAN (OJK)
,,,6440,OTORITAS JASA KEUANGAN (OJK)
,,645,,LEMBAGA PENJAMIN SIMPANAN (LPS)
,,,6450,LEMBAGA PENJAMIN SIMPANAN (LPS)
,,649,,AKTIVITAS JASA KEUANGAN LAINNYA
,,,6491,PERUSAHAAN PEMBIAYAAN
,,,6492,PERGADAIAN
,,,6493,PERUSAHAAN MODAL VENTURA
,,,6494,PERUSAHAAN PEMBIAYAAN INFRASTRUKTUR
,,,6495,LAYANAN PINJAM MEMINJAM UANG BERBASIS TEKNOLOGI INFORMASI (FINTECH P2P LENDING)
,,,6499,AKTIVITAS JASA KEUANGAN LAINNYA YTDL
,65,,,ASURANSI
,,651,,ASURANSI DAN PENJAMINAN
,,,6511,ASURANSI JIWA
,,,6512,ASURANSI UMUM
,,,6513,PERUSAHAAN PENJAMINAN
,,652,,REASURANSI DAN PENJAMINAN ULANG
,,,6521,REASURANSI
,,,6522,PERUSAHAAN PENJAMINAN ULANG
,,653,,DANA PENSIUN
,,,6531,DANA PENSIUN PEMBERI KERJA
,,,6532,DANA PENSIUN LEMBAGA KEUANGAN
,66,,,AKTIVITAS PENUNJANG JASA KEUANGAN
,,661,,AKTIVITAS PENUNJANG JASA KEUANGAN
,,,6611,PENYELENGGARA INFRASTRUKTUR PERDAGANGAN DI PASAR MODAL
,,,6612,PENYELENGGARA INFRASTRUKTUR PERDAGANGAN DI PASAR BERJANGKA KOMODITI
,,,6613,PENYELENGGARA INFRASTRUKTUR PASAR UANG DAN PASAR VALUTA ASING
,,,6614,PERUSAHAAN EFEK SELAIN MANAJEMEN INVESTASI
,,,6615,PERANTARA PERDAGANGAN BERJANGKA KOMODITI
,,,6616,KEGIATAN PENUKARAN VALUTA ASING (MONEY CHANGER)
,,,6617,AKTIVITAS PENUNJANG PERDAGANGAN BERJANGKA KOMODITI
,,,6619,AKTIVITAS PENUNJANG JASA KEUANGAN LAINNYA
,,662,,AKTIVITAS PENUNJANG ASURANSI
,,,6621,AKTIVITAS PENILAIAN RISIKO DAN KERUGIAN
,,,6622,AKTIVITAS AGEN
,,,6629,AKTIVITAS PENUNJANG LAINNYA UNTUK ASURANSI
,,663,,AKTIVITAS MANAJEMEN DANA
,,,6631,MANAJEMEN INVESTASI
,,,6632,PENASIHAT INVESTASI
,,,6639,AKTIVITAS MANAJEMEN DANA LAINNYA
,,664,,AKTIVITAS PENYELENGGARAAN SISTEM PEMBAYARAN DAN JASA PENGOLAHAN UANG RUPIAH
,,,6641,PENYELENGGARA SISTEM PEMBAYARAN
,,,6642,PENYELENGGARA KEGIATAN JASA PENGOLAHAN UANG RUPIAH
L,,,,REAL ESTAT
,68,,,REAL ESTAT
,,681,,REAL ESTAT YANG DIMILIKI SENDIRI ATAU DISEWA DAN KAWASAN PARIWISATA
,,,6811,REAL ESTAT YANG DIMILIKI SENDIRI ATAU DISEWA
,,,6812,KAWASAN PARIWISATA
,,,6813,KAWASAN INDUSTRI
,,682,,REAL ESTAT ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK
,,,6820,REAL ESTAT ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK
M,,,,AKTIVITAS PROFESIONAL
,69,,,AKTIVITAS HUKUM DAN AKUNTANSI
,,691,,AKTIVITAS HUKUM
,,,6910,AKTIVITAS HUKUM
,,692,,AKTIVITAS AKUNTANSI
,,,6920,AKTIVITAS AKUNTANSI
,70,,,AKTIVITAS KANTOR PUSAT DAN KONSULTASI MANAJEMEN
,,701,,AKTIVITAS KANTOR PUSAT
,,,7010,AKTIVITAS KANTOR PUSAT
,,702,,AKTIVITAS KONSULTASI MANAJEMEN
,,,7020,AKTIVITAS KONSULTASI MANAJEMEN
,71,,,AKTIVITAS ARSITEKTUR DAN KEINSINYURAN; ANALISIS DAN UJI TEKNIS
,,711,,AKTIVITAS ARSITEKTUR DAN KEINSINYURAN SERTA KONSULTASI TEKNIS YBDI
,,,7110,AKTIVITAS ARSITEKTUR DAN KEINSINYURAN SERTA KONSULTASI TEKNIS YBDI
,,712,,ANALISIS DAN UJI TEKNIS
,,,7120,ANALISIS DAN UJI TEKNIS
,72,,,PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN
,,721,,PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN ALAM DAN ILMU TEKNOLOGI DAN REKAYASA
,,,7210,PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN ALAM DAN ILMU TEKNOLOGI DAN REKAYASA
,,722,,PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN SOSIAL DAN HUMANIORA
,,,7220,PENELITIAN DAN PENGEMBANGAN ILMU PENGETAHUAN SOSIAL DAN HUMANIORA
,73,,,PERIKLANAN DAN PENELITIAN PASAR
,,731,,PERIKLANAN
,,,7310,PERIKLANAN
,,732,,PENELITIAN PASAR DAN JAJAK PENDAPAT MASYARAKAT
,,,7320,PENELITIAN PASAR DAN JAJAK PENDAPAT MASYARAKAT
,74,,,AKTIVITAS PROFESIONAL
,,741,,AKTIVITAS DESAIN KHUSUS
,,,7411,AKTIVITAS DESAIN INDUSTRI
,,,7412,AKTIVITAS DESAIN INTERIOR
,,,7413,AKTIVITAS DESAIN KOMUNIKASI VISUAL/ DESAIN GRAFIS
,,,7414,AKTIVITAS DESAIN KONTEN KREATIF
,,742,,AKTIVITAS FOTOGRAFI
,,,7420,AKTIVITAS FOTOGRAFI
,,743,,AKTIVITAS SERTIFIKASI PROFESI/PERSONEL
,,,7431,AKTIVITAS SERTIFIKASI HASIL PENDIDIKAN DAN/ATAU PELATIHAN BERBASIS KOMPETENSI
,,,7432,AKTIVITAS SERTIFIKASI PROFESI/PERSONEL INDEPENDEN
,,749,,AKTIVITAS PROFESIONAL
,,,7490,AKTIVITAS PROFESIONAL
,75,,,AKTIVITAS KESEHATAN HEWAN
,,750,,AKTIVITAS KESEHATAN HEWAN
,,,7500,AKTIVITAS KESEHATAN HEWAN
N,,,,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI
,77,,,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI
,,771,,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MOBIL
,,,7710,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MOBIL
,,772,,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BARANG PRIBADI DAN RUMAH TANGGA
,,,7721,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI ALAT REKREASI DAN OLAHRAGA
,,,7722,AKTIVITAS PENYEWAAN KASET VIDEO
,,,7729,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI BARANG PRIBADI DAN RUMAH TANGGA LAIN YTDL
,,773,,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN
,,,7731,AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI ALAT TRANSPORTASI
,,,7732,AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN DAN PERALATAN INDUSTRI KREATIF
,,,7739,AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN
,,774,,SEWA GUNA USAHA TANPA HAK OPSI ASET NON FINANSIAL
,,,7740,SEWA GUNA USAHA TANPA HAK OPSI INTELEKTUAL PROPERTI
,78,,,AKTIVITAS KETENAGAKERJAAN
,,781,,AKTIVITAS PENEMPATAN TENAGA KERJA
,,,7810,AKTIVITAS PENEMPATAN TENAGA KERJA
,,782,,AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU
,,,7820,AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU
,,783,,PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA
,,,7830,PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA
,,784,,PELATIHAN KERJA
,,,7841,PELATIHAN KERJA PEMERINTAH
,,,7842,PELATIHAN KERJA SWASTA
,,,7843,PELATIHAN KERJA PERUSAHAAN
,79,,,AKTIVITAS AGEN PERJALANAN
,,791,,AKTIVITAS AGEN PERJALANAN DAN PENYELENGGARA TUR
,,,7911,AKTIVITAS AGEN PERJALANAN
,,,7912,AKTIVITAS BIRO PERJALANAN
,,799,,JASA RESERVASI LAINNYA DAN KEGIATAN YBDI
,,,7991,JASA INFORMASI PARIWISATA DAN DAYA TARIK WISATA
,,,7992,JASA PRAMUWISATA DAN INTERPRETER WISATA
,,,7999,JASA RESERVASI LAINNYA YBDI YTDL
,80,,,AKTIVITAS KEAMANAN DAN PENYELIDIKAN
,,801,,AKTIVITAS KEAMANAN SWASTA
,,,8010,AKTIVITAS KEAMANAN SWASTA
,,802,,AKTIVITAS JASA SISTEM KEAMANAN
,,,8020,AKTIVITAS JASA SISTEM KEAMANAN
,,803,,AKTIVITAS PENYELIDIKAN
,,,8030,AKTIVITAS PENYELIDIKAN
,81,,,AKTIVITAS PENYEDIA JASA UNTUK GEDUNG DAN PERTAMANAN
,,811,,AKTIVITAS PENYEDIA GABUNGAN JASA PENUNJANG FASILITAS
,,,8110,AKTIVITAS PENYEDIA GABUNGAN JASA PENUNJANG FASILITAS
,,812,,AKTIVITAS KEBERSIHAN
,,,8121,AKTIVITAS KEBERSIHAN UMUM BANGUNAN
,,,8129,AKTIVITAS KEBERSIHAN BANGUNAN DAN INDUSTRI LAINNYA
,,813,,AKTIVITAS JASA PERAWATAN DAN PEMELIHARAAN TAMAN
,,,8130,AKTIVITAS JASA PERAWATAN DAN PEMELIHARAAN TAMAN
,82,,,AKTIVITAS ADMINISTRASI KANTOR
,,821,,AKTIVITAS ADMINISTRASI KANTOR DAN PENUNJANG KANTOR
,,,8211,AKTIVITAS PENYEDIA GABUNGAN JASA ADMINISTRASI KANTOR
,,,8219,AKTIVITAS FOTOKOPI
,,822,,AKTIVITAS CALL CENTRE
,,,8220,AKTIVITAS CALL CENTRE
,,823,,JASA PENYELENGGARA PERTEMUAN
,,,8230,JASA PENYELENGGARA PERTEMUAN
,,829,,AKTIVITAS JASA PENUNJANG USAHA YTDL
,,,8291,AKTIVITAS DEBT COLLECTION DAN LEMBAGA PENGELOLA INFORMASI PERKREDITAN
,,,8292,AKTIVITAS PENGEPAKAN
,,,8299,AKTIVITAS JASA PENUNJANG USAHA LAINNYA YTDL
O,,,,ADMINISTRASI PEMERINTAHAN
,84,,,ADMINISTRASI PEMERINTAHAN
,,841,,ADMINISTRASI PEMERINTAHAN DAN KEBIJAKAN EKONOMI DAN SOSIAL
,,,8411,KEGIATAN ADMINISTRASI PEMERINTAHAN
,,,8412,ADMINISTRASI PELAYANAN PEMERINTAH BIDANG KESEHATAN
,,,8413,KEGIATAN LEMBAGA PEMERINTAHAN UNTUK MENCIPTAKAN EFISIENSI PRODUKSI DAN BISNIS
,,842,,PENYEDIAAN LAYANAN UNTUK MASYARAKAT DALAM BIDANG HUBUNGAN LUAR NEGERI
,,,8421,HUBUNGAN LUAR NEGERI
,,,8422,PERTAHANAN DAN KEAMANAN
,,,8423,KETERTIBAN DAN KEAMANAN MASYARAKAT
,,843,,JAMINAN SOSIAL WAJIB
,,,8430,JAMINAN SOSIAL WAJIB
P,,,,PENDIDIKAN
,85,,,PENDIDIKAN
,,851,,PENDIDIKAN ANAK USIA DINI DAN DASAR
,,,8511,PENDIDIKAN DASAR PEMERINTAH
,,,8512,PENDIDIKAN DASAR SWASTA
,,,8513,PENDIDIKAN ANAK USIA DINI
,,,8514,SATUAN PENDIDIKAN KERJASAMA PENDIDIKAN ANAK USIA DINI DAN PENDIDIKAN DASAR
,,,8515,PENDIDIKAN PESANTREN DAN PENDIDIKAN KEAGAMAAN ISLAM ANAK USIA DINI DAN DASAR
,,,8516,PENDIDIKAN KEAGAMAAN ANAK USIA DINI DAN DASAR
,,852,,PENDIDIKAN MENENGAH
,,,8521,PENDIDIKAN MENENGAH ATAS/ALIYAH PEMERINTAH
,,,8522,PENDIDIKAN MENENGAH/ALIYAH SWASTA
,,,8523,PENDIDIKAN MENENGAH KEJURUAN DAN TEKNIS/ALIYAH KEJUJURAN PEMERINTAH
,,,8524,PENDIDIKAN MENENGAH KEJURUAN/ALIYAH KEJURUAN SWASTA
,,,8525,SATUAN PENDIDIKAN KERJASAMA PENDIDIKAN MENENGAH
,,,8526,PENDIDIKAN PESANTREN MENENGAH
,,,8527,PENDIDIKAN KEAGAMAAN MENENGAH
,,853,,PENDIDIKAN TINGGI
,,,8531,PENDIDIKAN TINGGI PEMERINTAH
